Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),Growing degree days >5,Mean depth (m),Max depth (m),Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort per ha,Exploitaton rank,Prey fish spp.,Length at maturity (mm),Age at maturity (yrs),Juvenile growth rate (mm/yr),Reproductive investment (per yr),Length at age 0 (mm),Natural mortality (yr),Sample size (length at age),Sample size (length at maturity)
Hallett Lake,00145CHES,Omineca,-124.7736119,53.81727985,801,563.7642919,1046,17,31,0.09583993,80,4.705882353,FR,#N/A,#N/A,3,3,364.3025453,6.335676238,51.62238597,0.174304788,44.52712301,0.159835383,27,22
Hatdudatehl Lake,00596LTRE,Omineca,-124.5352626,54.87750334,908,255.9906023,869,9.51,NA,0.024344706,146,15.35226078,NR,#N/A,#N/A,2,2,566.5800518,14.65310584,20.79501638,0.049593272,269.4298585,0.042936934,56,21
Hautete Lake,00894TAKL,Omineca,-126.1496477,55.18610638,856,227.1696012,887,7,17.5,0.015901872,61,8.714285714,NR,#N/A,#N/A,2,1,451.4406758,8.622057976,44.57853714,0.17210158,82.12440433,0.157647047,30,23
Hook Lake,00778SWIR,Skeena,-131.1222401,59.70360761,1277,345.4944037,413,9.41,46,0.032511023,38,4.038257173,NR,#N/A,#N/A,2,1,623.4139614,40.14083292,8.588620872,0.038201279,309.6649026,0.032909594,93,38
Horse Lake,00378BRID,Cariboo,-121.1077757,51.58750422,991,1215.459365,1119,15,34.4,0.182318905,201,13.4,PR,#N/A,#N/A,4,1,474.2685506,10.196459,32.23771976,0.100661902,147.8306446,0.089166458,47,15
Jennings Lakes,00875SWIR,Skeena,-130.6740905,59.61274816,1166,894.487244,504,6,27,0.053669235,26,4.333333333,NR,#N/A,#N/A,2,0,613.2835165,18.56562508,25.57477647,0.10374391,140.395126,0.092026003,48,8
Kahan Lake,00933JENR,Skeena,-131.2331595,59.25990543,1332,184.3633752,439,8,36,0.01474907,18,2.25,NR,#N/A,#N/A,1,0,419.6245151,13.53891605,25.9525771,0.160268245,68.86123803,0.145974831,146,34
Kluane,YT_Kluane,Yukon,-138.677267,61.2327,781,39275,678,31.1,91,12.65,130,4.180064309,PR,2024,0.051534055,5,3,475.097953,7.079774598,53.65044979,0.203218965,99.6934299,0.18900721,137,94
Kusawa,YT_Kusawa,Yukon,-136.371276,60.338,671,14200,791,54,140,7.668,30.5,0.564814815,PR,4325,0.304577465,3,3,346.1281532,5.682228284,43.0776537,0.171846396,102.1277091,0.157393895,427,401
Laberge,YT_Laberge,Yukon,-135.182358,61.1697,628,20100,884,54,146,10.8,68,1.259259259,PR,6706,0.333631841,4,1,429.5875159,5.967620387,83.52593807,0.396877553,-67.73120362,0.409980652,121,95
Lapie Lake,01070LIAR,Peace,-126.2948367,59.30979395,838,20.36440192,854,4.33,12.5,0.000881779,171,39.49191686,NR,#N/A,#N/A,1,0,340.0729101,7.733039805,37.34436781,0.322930407,53.37705497,0.319750597,72,15
Little Atlin,YT_Little Atlin,Yukon,-133.961822,60.2593,687,4033,767,10.6,47,0.427,161,15.18867925,PR,3281,0.813538309,4,4,451.1026368,6.586938502,52.28879556,0.248912174,113.4805962,0.236916109,25,45
Little Salmon,YT_Little Salmon,Yukon,-134.6841,62.1862,609,6210,748,92.6,155,5.75,96,1.036717063,PR,#N/A,#N/A,3,0,420.8894888,9.588489738,32.67618324,0.125212281,109.3267228,0.112174906,66,44
Long Mountain Lake,01088LIAR,Peace,-126.6488049,59.30131868,916,117.905823,753,9,28,0.010611524,112,12.44444444,NR,#N/A,#N/A,2,0,324.8053847,9.270712255,24.86865542,0.083929734,95.55042099,0.073783141,69,50
Lower Nome Lake,01218SWIR,Skeena,-130.8958972,59.74547636,1170,66.89403552,484,4,16,0.002675761,24,6,NR,#N/A,#N/A,1,1,501.609748,13.3634319,30.23961296,0.153950274,102.2282032,0.139798227,39,4
Marsh,YT_Marsh,Yukon,-134.295157,60.4514,654,9630,892,12.8,51.5,1.22,57,4.453125,PR,1642,0.170508827,5,1,456.4436342,5.440524366,68.5036968,0.346677508,85.12484667,0.347849005,68,65
Mayo,YT_Mayo,Yukon,-135.042286,63.7638,671,9000,780,56.5,106,5.085,94,1.663716814,PR,#N/A,#N/A,5,2,383.6329839,6.085261251,61.87459078,0.32571495,14.76254805,0.323004797,38,28
McBride Lake,01380MORR,Skeena,-127.3508695,54.06606819,797,786.8734382,933,11,26.8,0.086556078,42,3.818181818,FR,#N/A,#N/A,2,1,530.8277317,8.240312042,57.86067377,0.272938046,109.5403557,0.263058963,36,4
Melgard Lake,01178TESR,Skeena,-131.298874,59.19098269,1212,118.159384,517,7,21.5,0.008271157,24,3.428571429,NR,#N/A,#N/A,2,1,539.7705467,23.49975091,15.1851814,0.068227464,183.8203888,0.059558818,136,45
Moberly Lake,01136UPCE,Peace,-121.8230274,55.81623171,697,2850.889752,1145,18,42.7,0.513160155,148,8.222222222,PR,#N/A,#N/A,5,1,603.9448098,6.167396092,68.05611896,0.245019067,217.692066,0.23274358,722,97
Nakinilerak Lake,00756TAKL,Omineca,-126.2840174,55.27829546,875,718.2380658,859,11,29,0.079006187,56,5.090909091,FR,#N/A,#N/A,2,0,603.830262,17.83575058,27.02424773,0.105398798,124.6062883,0.09356482,93,36
Narrow Lake,00744WILL,Omineca,-121.9333004,53.55721745,958,351.9665672,993,26,59,0.091511307,26,1,FR,#N/A,#N/A,3,1,497.6729969,8.013022106,47.96104833,0.161075722,115.7780141,0.146766997,56,30
Natowite Lake,00998TAKL,Omineca,-125.9460681,55.07725391,778,1366.059023,977,17.6,NA,0.240426388,14,0.795454545,FR,#N/A,#N/A,2,1,625.261064,16.07287214,31.61369262,0.148431278,118.7955951,0.134433764,69,13
Netson Lake,01149COAL,Peace,-126.716174,58.70287794,983,303.3171231,731,8,36.5,0.02426537,256,32,NR,#N/A,#N/A,2,1,336.6388556,5.274564357,41.55296499,0.119973635,118.283207,0.107220658,91,29
Nome Lake,00939SWIR,Skeena,-130.9034164,59.64553801,1194,1012.212396,456,20,73.6,0.202442479,68,3.4,NR,#N/A,#N/A,1,1,364.76299,10.47886613,32.56880491,0.173143225,27.16471176,0.158681064,31,20
Obo Lake,00011TOOD,Omineca,-126.7020425,57.97676448,1214,199.0871782,563,13,32.8,0.025881333,26,2,NR,#N/A,#N/A,2,0,385.6565573,8.790027274,26.94206376,0.122259281,156.9320551,0.109379202,37,22
Pinchi Lake,00509STUL,Omineca,-124.3263553,54.58296108,719,5585.827463,1055,24,67.5,1.340598591,116,4.833333333,FR,#N/A,#N/A,2,3,537.7952333,10.85077835,37.58942796,0.127104714,131.6028853,0.113970654,176,83
Pinkut Lake,02257BABL,Skeena,-125.6515672,54.37751494,918,585.8936733,894,10,31.7,0.058589367,64,6.4,FR,#N/A,#N/A,4,2,811.0478152,18.0133067,36.63997021,0.105949598,155.5352823,0.094077515,26,4
Purvis Lake,01099NATR,Omineca,-125.401829,55.19177823,882,294.3142939,909,20,36,0.058862859,56,2.8,NR,#N/A,#N/A,2,2,454.2247103,6.762073538,62.09410978,0.204591054,44.4569622,0.190412903,43,34
Quiet,YT_Quiet,Yukon,-133.075001,61.0798,787,3780,723,32.9,170,1.244,44.5,1.352583587,FR,1204,0.318518519,3,1,406.4239022,8.090439593,36.01064292,0.144461024,118.7805041,0.130592398,157,102
Ruth Lake,00589NAKR,Skeena,-132.9140154,59.24972813,945,80.92581798,564,7,19,0.005664807,43,6.142857143,NR,#N/A,#N/A,2,0,349.4527852,7.088652248,51.80107685,0.297669725,-13.68742652,0.29070327,29,15
Sekulmun,YT_Sekulmun,Yukon,-137.565456,61.444,921,4932,576,27.7,53,1.36,43,1.55234657,FR,#N/A,#N/A,2,2,396.0997483,6.672726649,70.50919227,0.276645795,-68.61511805,0.267154988,57,27
Shuswap Lake,00672SHUL,Thompson,-119.0937365,50.8013475,357,30511.90286,1919,62,161.5,18.91737977,46,0.741935484,PR,#N/A,#N/A,5,3,463.4730536,4.379724482,68.25760728,0.256421158,166.151169,0.245013549,311,31
Simpson Lake,01315ATLL,Skeena,-133.575608,59.23313547,876,202.3311022,582,16,44,0.032372976,96,6,NR,#N/A,#N/A,1,0,350.5929509,8.191436319,34.8003737,0.226102129,75.04375408,0.212713105,27,12
Stony Lake,01017WILL,Omineca,-121.8556032,53.4149556,930,876.5372988,1033,10,22,0.08765373,32,3.2,FR,#N/A,#N/A,3,2,536.1262892,11.32727479,37.06471082,0.133580455,143.0055664,0.120140059,29,16
Sulphurous Lake,00252BRID,Cariboo,-120.8482401,51.62984727,1113,379.6191482,1034,15,46.9,0.056942872,386,25.73333333,PR,#N/A,#N/A,4,1,372.504508,4.15607145,54.16851936,0.267127626,144.2716764,0.256673634,32,17
Summit Lake Pce.,00019MMUS,Peace,-124.6737084,58.64449,1281,28.84501406,559,3,5.5,0.00086535,160,53.33333333,PR,#N/A,#N/A,3,0,396.7909533,9.899353681,29.57357783,0.182820276,106.4267462,0.168338699,89,18
Tacheeda South Lake,00582PARS,Omineca,-122.546877,54.69932416,734,362.3511086,1087,10.23,48,0.037068518,52,5.083088954,FR,#N/A,#N/A,3,3,530.0303176,8.684543384,67.12406195,0.246238703,-47.84640033,0.234048883,32,8
Tagetochlain Lake,00797FRAN,Skeena,-126.9889726,54.00061831,827,1078.987936,882,22,60.95,0.237377346,80,3.636363636,FR,#N/A,#N/A,2,1,695.1677805,15.07770946,41.449602,0.142529598,70.9857849,0.128728994,98,19
Tagish,00002TUTR,SkeenaYT,-134.294839,59.8485,655,35460,795,62,307,21.8,62,1,PR,6888,0.194247039,4,1,434.0683695,4.349059567,72.69261152,0.342043452,118.5911577,0.34230347,721,686
Taltapin Lake,02504BABL,Skeena,-125.3229284,54.31790807,867,2105.137444,941,40,95.7,0.842054977,88,2.2,FR,#N/A,#N/A,3,3,581.8574137,7.878383425,68.10450715,0.219970429,47.18006673,0.206305631,41,22
