Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),Growing degree days >5C,Mean depth (m),Max depth (m),Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort per ha,Exploitaton rank,Prey fish spp.,Length at maturity (mm),Age at maturity (yrs),Juvenile growth rate (mm/yr),Reproductive investment (per yr),Length at age 0 (mm),Natural mortality (yr),Sample size (length at age),Sample size (length at maturity),Adult postmaturation lifespan (yrs)
Fraser Lake,00699FRAN,Omineca,-124.6762257,54.0902113,676,5385.201848,1130,13,30.5,0.70007624,100,7.692307692,PR,#N/A,#N/A,5,0,696.9,15.0,28.9,0.101,276.5,0.090,41,48,32.8
Frenchmen,YT_Frenchmen,Yukon,-135.849086,62.1645,564,1438,875,16.8,65,0.242,279.5,16.63690476,PR,4564,3.173852573,3,2,460.5,7.9,44.3,0.238,139.8,0.234,35,34,32.8
Friday Lake,00654TAKL,Omineca,-126.3501145,55.3404122,902,189.0935993,847,13,17.5,0.024582168,40,3.076923077,NR,#N/A,#N/A,4,0,356.3,6.2,34.6,0.173,146.8,0.162,49,51,32.5
Frog Upper Lake,00628FROG,Peace,-127.3699805,58.04103531,1003,3.653744137,691,14,45.5,0.000511524,28,2,NR,#N/A,#N/A,2,1,454.5,13.8,26.6,0.136,91.0,0.123,29,77,16.2
Graveyard Lake,00072UKEC,Peace,-127.3752924,59.26170493,645,274.4147143,973,9.89,NA,0.027139615,324,32.760364,NR,#N/A,#N/A,1,1,504.4,12.2,27.1,0.131,200.8,0.120,21,10,11.3
Gwillim Lake,00132MURR,Peace,-121.3527673,55.3546962,781,1071.879063,1065,31,48,0.33228251,136,4.387096774,PR,#N/A,#N/A,4,1,534.1,10.6,45.5,0.092,53.1,0.081,58,44,25.1
Hallett Lake,00145CHES,Omineca,-124.7736119,53.81727985,801,563.7642919,1046,17,31,0.09583993,80,4.705882353,FR,#N/A,#N/A,3,3,386.5,6.9,50.3,0.170,48.4,0.157,27,26,49.4
Hatdudatehl Lake,00596LTRE,Omineca,-124.5352626,54.87750334,908,255.9906023,869,9.51,NA,0.024344706,146,15.35226078,NR,#N/A,#N/A,2,2,579.8,15.5,20.3,0.049,271.7,0.042,56,46,54.7
Hautete Lake,00894TAKL,Omineca,-126.1496477,55.18610638,856,227.1696012,887,7,17.5,0.015901872,61,8.714285714,NR,#N/A,#N/A,2,1,475.4,9.4,41.5,0.159,95.1,0.146,30,33,50.5
Hook Lake,00778SWIR,Skeena,-131.1222401,59.70360761,1277,345.4944037,413,9.41,46,0.032511023,38,4.038257173,NR,#N/A,#N/A,2,1,559.7,30.8,9.8,0.044,295.8,0.039,93,98,16.5
